"","session","feedback"
"293","FzE9K52XmCCBnVGhhtRn0xrR3_i8IUSTvfnRHBi0GD_cunLyAIOszTYyKlkqU_4C","corona pandemic completely changed my shopping behavior"
"294","REmJDr0kVl3bwQB9rqGVFGkl0XYvVhSC9rQy7H2OGNoTXHXKSn9tnkGrRwULizFV",""
"295","JmhWhRBmKVf4IpvDLJM4_SgbMZqODm04CDpE7dWXowjgnCZwnFn0RC103w6geUIA",""
"296","bpjegw_QFq2NRUPMVd-D6ui80UuHxOMHNwFl1-QDVDuEK2dw0EzO_SoLromkx8O6",""
"298","g43FCNINdK-dVZCpFl2mk1zjK-hLyzLx7YEU9geclohp6Lt8AApwDSGrQXAStfz5",""
"299","BLKl0cmibUaqM8fffZGuIt715oGdm3fi5AuMgABrevVUqfl0qI9ir32ghGeRFel2","Thanks!"
"300","r-gayQftyyuom9n98xxeD9mGtoZrOfT-_B8leXvz-8b1a-sS7r_Sv7aaS4CuH8Gd",""
"301","gmJXBKi7XS1MqRkjlEV9v14njym1WDP8sML3tds8qLXvgr_31OCowGbTFF91YPb3",""
"302","aIUddSeIHmQ06BGMwzVrNdCu9xRXMA1bYQ6ZHLl-BrK42epvevpetxIglWNHj-ID",""
"303","g3949AyWO4_NlTuaGonmt0u8JAkkZyTSYV_Sb8I7usnbM7morf076-IJs0kzbEAu",""
"304","crGI3h-cBoWpAq4oaSuinhVMxJ2G7QGZU0sZBnEgG7MRj4CR50qkdIQaD9Ld8s8e","Thanks for the opportunity to participate!"
"305","hT5B3HtjjBprRXtpkj-VKpZR-OA2wbV8drautKL-mNYWRFmWg3ldWGDxC8_HHcXv",""
"306","_KefiFoltKQYB6IGSGhDs4oA1XxGJD9DxWhE-EntKzkQMd05q-xFqzw4qhmhV9_W","Thanks"
"307","K5lyemZ4BeNa8fQg2iFV_r6hFbr1ViGg-30iMK9V2u-fdcHgtaVrNlg_jnwrI6MH",""
"308","Gyzapt0T-5m6bAtBnJ_KkXlo2GxYNO_Mdbn5FZfCbRF7SgqT750XdrJ6Hvw5AbZi",""
"309","2xRSnliHS7BKQG5Xg5gmWLbaLjNEPjk5bypTl4RRtxQ8RV7LvGGI1ktExrpLodb9","GOOD"
"310","TJQMw96CoSoSB7T7LLMeid8k4pRjjNFt6_z26IlW2eCpD-9SrbwJ0GVv4Vi-l4Fy",""
"311","WGWwjFqK20B1hqoeS2EU0PcJSNigTLpJ4CeZ--U7U7SupPjLePgSnf8ZO4ulO9MW","Good survey"
"312","ArIQ8ZHCohvXq4ghP9dWMSdSzSNLZ-wLtrRggizOaBR8mR_CSSneCgFVczeoxonK",""
"313","kzDNhG4XG4xHxqbyeFoUYnJVt1bTGGqUPa7yUvRhICEZAUzLy28V1YGhaV7676hd",""
"314","nyi3Xv60FB7pg8ovX8H9W8-pIYJJQ-PMu55U3JtsxyvvKpQhGllnsF4oy0mQyaQi","THANKS"
"315","_oxO4tjcyXpWYz9BNbkWbtqSxoz3QLCZti-hZzqmZD4o9Iyx82T0TIZVjuZxo2lv",""
"316","IvD-VUSrgeklHiGHToPfleaYO4X7TFbXKIVwplDxZuoXJ28_W1GkHExEbrtjDcMQ",""
"317","BS34pI736Jh4IKS5CB45XltGVP1ng5_YfigEvQsCjHwBEGJoSqc5kenWALFVlVc3",""
"318","1o2vLtT7fjpqVYQMZekSH95zWQrNEYL0YeYI2bQvF5M-xCErFO5xr8PXA47y_cXI",""
"319","TXfzfD8LOvGhB_zmdrHVrnhtFUkYwRqCxjczSLhyCBaB4kuwKtRRDADrL_FULgjx",""
"320","s6Oh7oi1rGFngWFaGx1qIOHY6yV5Z-R_vCxMvMV6PknE3ljfLf7mpWw3_PaxkREd",""
"321","a1Q6z6hOQv4AOHinhNNiEyO5dG9Hth8qrdG0-M30bi-mMwYthxuB_iHrGMlZHsOB",""
"322","f3Tdt04m5rlSvUdhx7MFC4-prrW167NomHRHVn9qmx5M3EOo6xK1CkMdYvOx_cf2",""
"323","IE6M3jgQhOP5fSaHgttEM-St9Wp2r5uE2Y3sA516GH3cqpajxy_APU2kGlXWNGxD",""
"324","TIUCmIpotOpL3C5PwWKCXm_c1kBvhwA3Lg1fZsinhk-vP8n-qBTGACqX2ihlJ-42","no comments or feedback"
"325","c6Wc9oJOYBJgo_ByCzi-7Iffx0ezyVWDXdrbry6ChSLHunrWuYikMV92cXocho3U",""
"327","bjnhnu8jnzXHsqQGq1FCCOmC5JjCbF3BUp0VsHafennlRvscIB0-iNgnYTj-Q3k3","very useful study"
"328","kxtlN7FG7o58G-gQH0-43gxZbwN6uXBBvzKyOTAAQrNvrkKFcTyCH030os2pvFQ4",""
"329","3kr4YxKchfCWKJKXMj4Ii8rMwWhFj5qUBCaybFBcVeb8rRwMuY1QGtNFvAPd1Q7r",""
"330","8jCNPX5CDWmORF9i_UvsODCv4aIx04wJiZVsFtGrUVu4YyOBvNcDkLxrsMQnPfNP","Good"
"332","MWcJgKyxowB6nkjpV99X3qF1NCYYdzeIm3feS11vfYH5bQq2hEz7f18xl7-gXobw",""
"334","YeKV_4XABpQgMiAQ5EuKPrMrScGAXMhU5I6kFqxuQeQOTD2t7kDV2Fgy5Dp8MhW5",""
"335","4FiRsWvfrRS9_NAvDx-L8zBqqSapaIcO85gEXPaJWZY3YiZaNKHJ_6yB-reNCvdP",""
"337","O5FbyhifEEP52rO68VjIclv_1X6WqM3meevnE4lS5ghz3rCiCVDz5jAknr0mf4tx","STAY HOME STAY SAFE , THANKYOU"
"338","btmC_2XRD9jZNUPqNZVISBqOCScvC9bil1v41FU9Y1YKZdZ8RmmxvJmHZ-X15bNg","i like very much"
"339","_YSlwipBcHLWg8vZFumXZJHU3HIECUX5EzsZpQ3MpIxEvflVwIeXIpQY6QzKyDYO","well done"
"340","_H_CgYe8Xwt_XPbST89HJo3V2siRUUPnUZ5x0uwkCuRr5O4FScfMEs2SILcVTh8k","i really like this survey"
"341","qYDMIN4jFgDGDji_t0DSmu54i0IB1zgVv2iXWgMzi0qHfLVLwv6x08z1nHp7APhr","A1LBXBV4KZ952A"
"342","BD2FJIBUk-cXtPp2s14QjbJljLFs3iLzEWzcKe478dnJoj6BI2QsieoZB7CR8BzF","Thanks"
"344","JcR2byR1DBBpZu4xbfZT8C8Gd-v4GAjyW7N1zPSFxHiJEoc0gNoZCz_McAVyQUJx",""
"346","chCbqy_sL5jkQV9hRtYRPWjlYI_r_qPXgqnOE80F2sZf3mRPDjhCl4WZtKBpO5pz",""
"347","CfSsLCpW8E8y6Zlu8Tcm3As9geyovPKmoUL0UffHkkVDL63P-N3V_rCTwtTd1dhP",""
"348","H3NfwHnDqK17acmA0HEJhBhdueU3dS4DUjhuTjog9kWF-O-Ql5OcDmz_U6PEfNap",""
"350","m-378UuoJ1Cv7DMbxGzeiE3-zKpNDjxJrlVPNqoWZYicBBqeInc7BLjTFZaHWXVf",""
"351","-VbkuyapYcSJAAkrLY6N4JzT7JdDOcZ9qIYm-lIM2L4eD2dFWad3YEE6vtRI4aWe",""
"352","xJiZNLgbkv4hqFwemOkkVUQWcxz8S4-v1gnk5_RdApbVSULM7P8XJuIjiyTLTnXl","none"
"353","GDach_20kX5tq5HeWafuw7Hk5tk6aZdcfuD2TElteGJ-5j3sMYxU4tLY9D-NU8Gm",""
"354","O89sWHv2jClclre3yBzMu1vn70qTHxQwi2t0V0EXtU2WtsLpikK_9-pWL6ejt4vx",""
"355","yPHGg8wjDGkdIrNBj1sXSiCqI0phY7M5mVJ2H6EPsXv3b9_Le5v8w2uvHzzLYxEs",""
"356","EhjPWqRbsVWhCiiVkvkQ4-OyFq58hS3z689dq-Ojk79FCYTPbYmPEDg8MqRnGdgI","NICE"
"357","Yt6dJ2Ro61KjNFY67qXWxmij1Sg8ZgXQHkfT-fHoXkfETf6_t3jfRfeo_fYwp-QA","The survey is awesome"
"358","_W8q7tVvdNKgSLNh-XKpdMduzN7FBOZF0OU2Swfyuz2AtfIbM8mGB4aCeVII6yCp",""
"359","IiNMhjPovdZhSde1Pfb5SQIDclzqIQgewPzmVlPDuXfaBOtXRGQwUux_6T9OIhfr","GOOD"
"360","7Lk7iLSOc5r2D-57a--Y9bYyN1qN0-oF2pNce8HNriWEOTI78wEhIyuGByQDg3mD",""
"361","hiPA_oWwkV5-yxQZmbQGd4IOnwqtw-ejtqqFjeoTWCG84OYZNKQFB_eut570hmyC",""
"362","8XbrqrVHyUdQG0O-s7Dj4bPCrf80o-e_FXOSrU6DGZWDiQmt6QWhSpJhY-CQa6kl","Very interactive study"
"363","8yYS4HXblVN99jvplZTqqtZCAKpSvSnx_sAJPvrCiFxqux6iVBJqCxPuicR-xkTE",""
"364","d3PzMBtsawIUf3lYCPFpo5w6w0YLJlYeyupAruYJ_vvjSJptOc-O1cqQmg5rm2B_",""
"365","F0bkJEbXcdvpNgPZlF0FViqSZgAR11C-sCU_RvFH5He3gOMzNwf6ObAqxpFIPrm-",""
"366","m2hbGysyb1BB4QD9Ci8aL9psNhELx4REWD0BIFurINB7HIa3DOCeHtLKGnaamgKm",""
"367","0Na6GQjpdSOvyJVHOYRjaPXKhrE7lPLhazV1qVtCnuFo8U_ICMwtyvcjDlgmUsVn",""
"368","Q_1DazAeeQdh6uZYS-ahNL0YPJLpV5eDMIjLONuczT39Wi9YXe0k0db_2c_KNqQ4","Nice survey"
"369","O5EF8iCgGgbcNmuN2MkwHZykaU9nzTa2rv86KATa-PERz_ssJYZJBOPhYz8JhjXq",""
"370","Jw6jizrtfMfjsu-LMrLmDlczCF01oXSNqI01NHkDZy8cXx48LgSA0OCB-vnADrPA",""
"371","sbryjIy4g-uhY_UxFcSs0fiqPjoZu8Ywfiz-59pNr-Ic_AiEgotA4dM_3m83sfrq",""
"372","QsZPEcAG1g8OrRK0rdJW6tUBWuobU0DF-jLD9wjQ_sfJUEeTalAQh_bCVnWltDZI",""
"373","bZ2md9FmJfzjNYfN1_Dmqb5I9wqtaaHNcplOuuK1-f4MxGxjux5imPBEPf4vS2Z2",""
"375","sPrCnEFc2KEQvgorLQ8a4HwfYe5CnZ9orsqRZuldDS8MkNYj2arD6V8ph2ytfUrb",""
"376","DTTwISpHcTLAx7xCecInLB6aLrYCvPROYN0Uk28DQ2tWnEBDBXZUu0GmB3oj97D5",""
"377","UmJva4mk2PzZYKVk4DCq1l4DwRIyaYqL9t_NxxmLsvgvcu8arIty_4hNyTnX7BLM","none"
"378","V5D4e-q8FYtJqksEvlLXyLddwZrZyCmwkuQix1nPd8We_ZFv0ytzViDR8QlajOHH","nice"
"379","vC02MNRfQ_upI8s-vBnszacP8a-Q2TAhDxyyVklAzA6Czj3agYHrJwYZC7JdS3JQ","Thanks for the HIT!  I did my best and hope the data is useful!"
"381","I05p5N9urVzKbyN5P2HbAJEH1FpdM1meaxjkmxlf9wMK_mJNPzEUu1wvx9eYp4vq",""
"382","7H6JdxbaMx4GrguIQO5PLaifI8qWcsQtFATGXAopzuKR0LkxCYZoimMA1jSQdwff",""
"383","jW74k75Nhfr5IyVFIYOgj-bW7SHdt7b012J_YPP1lkarGrY8o5nKiq2LzHNVX9wM","good"
"384","4omkyJ1En9xWQq6bcFYRpNfudvbcEf1JqZ_wrlnKr6yCLxFcz-LjpWWZqhs-pr-m",""
"385","BT6AEvobwvirNToEsREda9I2yEDXOkL7j3G6qAZqAckAz6qWmWufsFy8wrpyhDnT",""
"386","yMv9pXLjieKIwxFLi5o0e8UaUyM3zocADzZ9D063T6lZc8BjIJjJy8_fDMK_X6E7",""
"387","afVp_a4icT-FnWgdBfXGo24py0nT7059urijhNd1Pg-Fir-t-BjbHwzPJs3dlxHN",""
"388","SlAOihiwhtrgsDraox83JILsRh0bYtjGhoxK9a2VoBt5ogdfDeh6PoVsEcNAqFMK",""
"389","Z_M1Hz8f98nvn1vVctQ55RuisFE2qerh29XTeL3KdJcBolyxQhhzov8y4XH4tdv3","Nice survey"
"391","nJPH76HWHkraxFFhQ2iVGgxMr8Ifhk-e7x1bzTmGLHZnsIUJvkhjpXSSZczfigO3","thanks"
"392","A1af6hk6mu7uCH9NxMW5KHDMcXivFfKLciQPPJi3oFlbUYGl7jqG2umegRpBG4mp","So good"
"393","IHPjTjd-At2L3m-sHrSzWCQJYUS_N0oWHcfywmqLMKkQx3_EhhgRlz2yu1lcC_3r","good"
"394","J11I9kQA595VQrQIly9_y-O1M4tHwAbGVFqMk5QqDbc7VqFZk1MOHT1BiGpoCi6a",""
"395","vCSvFEkW1TS0rYXWS5D9nMkDOydy9SfOYp4xOfHCDr90GcKDepeKbcLOxbcbdIkO",""
"396","7gIXxacb4sIP7i4EU3Qid8jfDssnKhBE3x0Y7FfpGMRU0E3lazKS3PNyeEw52eYj",""
"398","yGES9HXGxMMrTmuuM0suomjcf7e4InZLKjJkQfE1HYS92S-8puQLI9UmxO7i56VU","I have been looking online for some things to buy with the stimulus check! So far I have resisted, but there are some things we need. I don't shop offline unless I need groceries. My husband goes to the Dollar General downtown if we need something between shopping trips."
"399","CMByjk_4rAbcbDtVCUC0CacQH54_cixQMBiC4D6LbyBzHEfvbT15ad9xfufwOhAO",""
"400","BAn2n-SLrl6LViderwcGmLeFPbhv_Tjo45SZ2sYmOc3OQt5qoGWVMceo0Z9ZQ4vu","Good survey"
"401","e_p8bX1OO4qIR6KOpMBPeQRoTFPOhCm_T4o9_Z3pc2Vltqj9mmdVHZbMBw9qc7aU",""
"402","IfChGMPYxtZjixKS7hb_QGsqqpTWngPrS7bgp4poJdOACU3acop10vQ519_pusmv",""
"403","-Uyxac7SF7CgvVOJFRzXOST-LV5s3GOgr_wt556wAloLy2if-Eir00jJ9vFXzW63",""
"404","wS3MuQ2apZjdzHdBEBQKUR-3mjxSRrvS3yNOoihqVJ6IoKYyhaGXZ6vqqlO_KMTo",""
"405","wxcuwTsTr9AJQF7gxnvu78g_U7QgcsmoptiwMp4nDif5dYaGrNnPkzDgnw9R4CVV",""
"406","h_H0EbWrqVBxMavjcVX68ZOq9IjTyHkfy7KsPf3suMxkaz7hb8dTBYdRuKX03Dmh",""
"407","tKe2Rg1hc4TW0M2gU8mPdosEtR89Wg3Wy_8WgpIxQWpcXaeyMSQUAigrXUFkLsmt",""
"408","TVPlwHgoQ9lyyrSPtam6n9V35wzncrdSs2dH_NG3sNGe9CH94ngDEUwVBupFpiFT","None."
"409","og7Yhhr1KO2dLfO3vMOL13DXSbNQVqBjYFYE9PGgBIdfmrrY00XaA6i6WMfkPrOl","No comments."
"410","kp5DBmB8_fIg4JMNm811FysIZ-H0For4cjR7W_hTSkA-lyyzbtmRqGzi9GsfrOu6",""
"411","luCvOFGqUk9BNe6ghJE5wlXsEKHo4YG9_QkMt4nqjA_whCxKzlU5HWyFwS6CvRnK",""
"412","8s5TFSf6J9ej0UnUvfvq58938BiLXny7P0lnUh4cyLAyFh5-aSJh2aa4HkQ1nuX9","none"
"413","WDarrDScRQhjEDBu4UPdMU3VHgAOzPU74m4dEOBUBwlW-OBKVgfy9li_UfGiphUv","Nice task and thanks for the opportunity"
"414","xZC4r9YBmf89GhSv0sYif-HbL_jyozlkOltRZeY8Qtf98T2j2whRr-p0kGzzOJDb",""
"416","Wrn448IgMYPKJkWDjPZ2sdqk492862Uu6C2XWQK7rS6GTlquBw-yd7XeZssaQAW4","It was nice to share my thoughts on your experiment."
"417","7TUX4MzIkdaddnFngfYd02wYReLmAXnqRBoTSeNVsKWgFa9J_iXFW_7d3yw7-RKm",""
"418","Q1nRW69_TjJLdjWB9Duc5zYGzJfXKMidU2GUmRqIkyIH2j1qHP7tV56zIaiuze3E","nice one"
"419","yauyBPUuBSzOV1ZBGIxEFfkBvx6xk0UUq74njH0DDTVqCB5Efwc-SPG2wHc7KRRD","Thank you very much for this HIT, and best of luck with your research"
"421","xZabRC9VGeWixJHiMxd7-k0NRHrX15ffRLWwMCbjkKsqgQfSqXNMq264BamJv20y",""
"422","gvCvzLccCmNVa3zvYZmQif2OpI1b8osN-g4_TX4-Pzl9KMB8LiCx-HEI4fqcAde1",""
"423","dISB6jFd_Y4PvnIAJmyddG1pv1yO6NyE-WTSWqeepiC5ESQo0aQ6niwdALaBZgrw","none"
"424","0kxvF2eL5lMz3xZFJOc3YL9kSW5CXLcA84MUtsaI8-hRwKExtfRGXffWyG7avBP0",""
"425","XgIamcnMKbUDSNRywr_Nm67HQtaNY1Ahz9KFjicNl6pWx0__H1B25MkmFFEUZ_cW",""
"426","4QsdNZ7bOEOQKgPG9G2jEokXrQ7n6vF2tknbNjyHg4d1swMyNptLf0DjaGgR6Eue",""
"427","PXhF8lfLtr7xn2bTZYTUfan4mO09tlcqm0kN2YbYS-x8O-t3hXPSgdFl7uqfAXG9","Everything was fine."
"428","mxQcr-Jr5twGbf93ZDyQrUepEJfCT6B4eS8pZp0OjqUyPSuG6XSXknz75V2scvLt",""
"429","24_rjz5SAs5LU6lw2F3bhvfCD3tzsHMkS-66SEvzqqZ71SfBfiFTyHRknfY311qq","Thanks!"
"430","g4mODTvrp9FyTbQOMBkcy5Z9cE8ScKtj8n9O9WuEqYd45mtL0JQ8CEOO_TPtbG5O",""
"431","3JxMR9NwQ5n7vdFnCcLbMm4uNWSQ8J7HiCHG8kiJG-b_XcsYLfyl7taKy8UsHryp","The dog question AC was a bit tricky, and I hope I answered it correctly.  It asked if I ""Agreed"" dogs need water to survive and I answered ""Agree""  as it asked me to."
"432","6EMZhLd5nOnUlfDaS4kheHyJmHpUul3kgVXDw4XQlcjDdkkVge0uecsiW9fjXOWS",""
"433","s5yXATG2ayTff56rc75ykEb8YxiSKDcrEN6tvNTNGT7vShb8u2o5exljdACXJtsx","I've taken many surveys on MTurk and just wanted to point out that I really liked your survey layout. "
"434","82p1jt9iSBA0Or-ALqeTUKYTKIUljNjFeo9_gbFfC9CrEfRLIclGaQWAwzrq-c-m",""
"435","548GKEDNcXuWcH8h8ULN1nHz5zdOXF7EkrgSKE5b3E80-ko3_At9x5VkGCFFlx4w","good study "
"437","pvtWqvQJT6U5Vb4gmdLw9v2QknOhoJDok63HpLnlE31SdLdWFVTvMSIW93Aais3i",""
